Time,Strain,Metabolite,Concentration,Date,Number,OD600
2.0,152,Adenine Hemi,0.50,10.7.22,1,0.00260
2.0,152,Adenine Hemi,2.50,10.7.22,1,0.00380
2.0,152,Adenine Hemi,5.00,10.7.22,1,0.00293
2.0,152,Adenine Hemi,12.50,10.7.22,1,0.00577
2.0,152,Adenine Hemi,25.00,10.7.22,1,0.00180
2.5,WT,Adenine Hemi,0.00,10.7.22,1,0.00731
2.5,WT,Adenine Hemi,0.00,10.7.22,1,0.00911
2.5,WT,Adenine Hemi,0.03,10.7.22,1,0.01141
2.5,WT,Adenine Hemi,0.25,10.7.22,1,0.02108
2.5,WT,Adenine Hemi,0.50,10.7.22,1,0.01768
2.5,WT,Adenine Hemi,2.50,10.7.22,1,0.00588
2.5,WT,Adenine Hemi,5.00,10.7.22,1,0.00361
2.5,WT,Adenine Hemi,12.50,10.7.22,1,0.01034
2.5,WT,Adenine Hemi,25.00,10.7.22,1,0.00558
2.5,152,Adenine Hemi,0.00,10.7.22,1,0.00531
2.5,152,Adenine Hemi,0.00,10.7.22,1,0.00544
2.5,152,Adenine Hemi,0.03,10.7.22,1,0.00731
2.5,152,Adenine Hemi,0.25,10.7.22,1,0.01914
2.5,152,Adenine Hemi,0.50,10.7.22,1,0.01131
2.5,152,Adenine Hemi,2.50,10.7.22,1,0.00331
2.5,152,Adenine Hemi,5.00,10.7.22,1,0.00261
2.5,152,Adenine Hemi,12.50,10.7.22,1,0.00481
2.5,152,Adenine Hemi,25.00,10.7.22,1,0.00161
3.0,WT,Adenine Hemi,0.00,10.7.22,1,0.01014
3.0,WT,Adenine Hemi,0.00,10.7.22,1,0.00971
3.0,WT,Adenine Hemi,0.03,10.7.22,1,0.01171
3.0,WT,Adenine Hemi,0.25,10.7.22,1,0.02578
3.0,WT,Adenine Hemi,0.50,10.7.22,1,0.01941
3.0,WT,Adenine Hemi,2.50,10.7.22,1,0.00778
3.0,WT,Adenine Hemi,5.00,10.7.22,1,0.00388
3.0,WT,Adenine Hemi,12.50,10.7.22,1,0.01091
3.0,WT,Adenine Hemi,25.00,10.7.22,1,0.00841
3.0,152,Adenine Hemi,0.00,10.7.22,1,0.00464
3.0,152,Adenine Hemi,0.00,10.7.22,1,0.00684
3.0,152,Adenine Hemi,0.03,10.7.22,1,0.00691
3.0,152,Adenine Hemi,0.25,10.7.22,1,0.00574
3.0,152,Adenine Hemi,0.50,10.7.22,1,0.01298
3.0,152,Adenine Hemi,2.50,10.7.22,1,0.00368
3.0,152,Adenine Hemi,5.00,10.7.22,1,0.00348
3.0,152,Adenine Hemi,12.50,10.7.22,1,0.00441
3.0,152,Adenine Hemi,25.00,10.7.22,1,0.00161
3.5,WT,Adenine Hemi,0.00,10.7.22,1,0.01193
3.5,WT,Adenine Hemi,0.00,10.7.22,1,0.01043
3.5,WT,Adenine Hemi,0.03,10.7.22,1,0.01430
3.5,WT,Adenine Hemi,0.25,10.7.22,1,0.02627
3.5,WT,Adenine Hemi,0.50,10.7.22,1,0.01810
3.5,WT,Adenine Hemi,2.50,10.7.22,1,0.00793
3.5,WT,Adenine Hemi,5.00,10.7.22,1,0.00290
3.5,WT,Adenine Hemi,12.50,10.7.22,1,0.00977
3.5,WT,Adenine Hemi,25.00,10.7.22,1,0.00543
3.5,152,Adenine Hemi,0.00,10.7.22,1,0.00887
3.5,152,Adenine Hemi,0.00,10.7.22,1,0.00670
3.5,152,Adenine Hemi,0.03,10.7.22,1,0.00843
3.5,152,Adenine Hemi,0.25,10.7.22,1,0.00733
3.5,152,Adenine Hemi,0.50,10.7.22,1,0.00810
3.5,152,Adenine Hemi,2.50,10.7.22,1,0.00443
3.5,152,Adenine Hemi,5.00,10.7.22,1,0.00477
3.5,152,Adenine Hemi,12.50,10.7.22,1,0.00723
3.5,152,Adenine Hemi,25.00,10.7.22,1,0.00233
4.0,WT,Adenine Hemi,0.00,10.7.22,1,0.01079
4.0,WT,Adenine Hemi,0.00,10.7.22,1,0.00829
4.0,WT,Adenine Hemi,0.03,10.7.22,1,0.01342
4.0,WT,Adenine Hemi,0.25,10.7.22,1,0.01792
4.0,WT,Adenine Hemi,0.50,10.7.22,1,0.01456
4.0,WT,Adenine Hemi,2.50,10.7.22,1,0.00936
4.0,WT,Adenine Hemi,5.00,10.7.22,1,0.00442
4.0,WT,Adenine Hemi,12.50,10.7.22,1,0.00929
4.0,WT,Adenine Hemi,25.00,10.7.22,1,0.00456
4.0,152,Adenine Hemi,0.00,10.7.22,1,0.00789
4.0,152,Adenine Hemi,0.00,10.7.22,1,0.00712
4.0,152,Adenine Hemi,0.03,10.7.22,1,0.00956
4.0,152,Adenine Hemi,0.25,10.7.22,1,0.00896
4.0,152,Adenine Hemi,0.50,10.7.22,1,0.00522
4.0,152,Adenine Hemi,2.50,10.7.22,1,0.00546
4.0,152,Adenine Hemi,5.00,10.7.22,1,0.00582
4.0,152,Adenine Hemi,12.50,10.7.22,1,0.00772
4.0,152,Adenine Hemi,25.00,10.7.22,1,0.00262
4.5,WT,Adenine Hemi,0.00,10.7.22,1,0.02111
4.5,WT,Adenine Hemi,0.00,10.7.22,1,0.01321
4.5,WT,Adenine Hemi,0.03,10.7.22,1,0.01858
4.5,WT,Adenine Hemi,0.25,10.7.22,1,0.02751
4.5,WT,Adenine Hemi,0.50,10.7.22,1,0.01968
4.5,WT,Adenine Hemi,2.50,10.7.22,1,0.00988
4.5,WT,Adenine Hemi,5.00,10.7.22,1,0.00484
4.5,WT,Adenine Hemi,12.50,10.7.22,1,0.01011
4.5,WT,Adenine Hemi,25.00,10.7.22,1,0.00518
4.5,152,Adenine Hemi,0.00,10.7.22,1,0.01151
4.5,152,Adenine Hemi,0.00,10.7.22,1,0.00994
4.5,152,Adenine Hemi,0.03,10.7.22,1,0.01178
4.5,152,Adenine Hemi,0.25,10.7.22,1,0.01124
4.5,152,Adenine Hemi,0.50,10.7.22,1,0.00784
4.5,152,Adenine Hemi,2.50,10.7.22,1,0.00718
4.5,152,Adenine Hemi,5.00,10.7.22,1,0.00608
4.5,152,Adenine Hemi,12.50,10.7.22,1,0.00724
4.5,152,Adenine Hemi,25.00,10.7.22,1,0.00314
5.0,WT,Adenine Hemi,0.00,10.7.22,1,0.02481
5.0,WT,Adenine Hemi,0.00,10.7.22,1,0.01681
5.0,WT,Adenine Hemi,0.03,10.7.22,1,0.01884
5.0,WT,Adenine Hemi,0.25,10.7.22,1,0.02724
5.0,WT,Adenine Hemi,0.50,10.7.22,1,0.02168
5.0,WT,Adenine Hemi,2.50,10.7.22,1,0.01044
5.0,WT,Adenine Hemi,5.00,10.7.22,1,0.00484
5.0,WT,Adenine Hemi,12.50,10.7.22,1,0.01031
5.0,WT,Adenine Hemi,25.00,10.7.22,1,0.01331
5.0,152,Adenine Hemi,0.00,10.7.22,1,0.01078
5.0,152,Adenine Hemi,0.00,10.7.22,1,0.01098
5.0,152,Adenine Hemi,0.03,10.7.22,1,0.01118
5.0,152,Adenine Hemi,0.25,10.7.22,1,0.01701
5.0,152,Adenine Hemi,0.50,10.7.22,1,0.00764
5.0,152,Adenine Hemi,2.50,10.7.22,1,0.00734
5.0,152,Adenine Hemi,5.00,10.7.22,1,0.00741
5.0,152,Adenine Hemi,12.50,10.7.22,1,0.00871
5.0,152,Adenine Hemi,25.00,10.7.22,1,0.00374
5.5,WT,Adenine Hemi,0.00,10.7.22,1,0.01962
5.5,WT,Adenine Hemi,0.00,10.7.22,1,0.01159
5.5,WT,Adenine Hemi,0.03,10.7.22,1,0.01722
5.5,WT,Adenine Hemi,0.25,10.7.22,1,0.02339
5.5,WT,Adenine Hemi,0.50,10.7.22,1,0.01892
5.5,WT,Adenine Hemi,2.50,10.7.22,1,0.00932
5.5,WT,Adenine Hemi,5.00,10.7.22,1,0.00626
5.5,WT,Adenine Hemi,12.50,10.7.22,1,0.01582
5.5,WT,Adenine Hemi,25.00,10.7.22,1,0.00666
5.5,152,Adenine Hemi,0.00,10.7.22,1,0.01132
5.5,152,Adenine Hemi,0.00,10.7.22,1,0.01129
5.5,152,Adenine Hemi,0.03,10.7.22,1,0.01289
5.5,152,Adenine Hemi,0.25,10.7.22,1,0.01249
5.5,152,Adenine Hemi,0.50,10.7.22,1,0.00899
5.5,152,Adenine Hemi,2.50,10.7.22,1,0.01036
5.5,152,Adenine Hemi,5.00,10.7.22,1,0.00909
5.5,152,Adenine Hemi,12.50,10.7.22,1,0.00959
5.5,152,Adenine Hemi,25.00,10.7.22,1,0.00456
6.0,WT,Adenine Hemi,0.00,10.7.22,1,0.02542
6.0,WT,Adenine Hemi,0.00,10.7.22,1,0.01616
6.0,WT,Adenine Hemi,0.03,10.7.22,1,0.02029
